0,20.91
1,29.37
2,19.17
3,25.83
4,29.15
5,10.03
6,22.53
7,20.36
8,24.38
9,23.52
10,21.87
11,11.53
12,22.69
13,12.45
14,22.03
15,17.47
16,18.43
17,11.1
18,20.68
19,13.13
20,25.59
21,19.94
22,24.21
23,12.07
24,23.15
25,15.87
26,15.45
27,28.75
28,24.67
29,23.97
30,24.21
31,11.66
32,11.71
33,20.52
34,28.22
35,25.75
36,22.63
37,19.49
38,20.32
39,29.89
40,22.82
41,19.62
42,23.33
43,20.6
44,15.08
45,10.3
46,23.88
47,29.98
48,11.97
49,22.27
50,13.69
51,12.84
52,24.48
53,11.57
54,17.51
55,13.56
56,20.74
57,22.6
58,15.7
59,27.83
60,23.96
61,27.31
62,18.33
63,13.26
64,21.21
65,15.99
66,24.74
67,29.97
68,25.76
69,27.81
70,16.75
71,18.01
72,29.78
73,23.0
74,21.3
75,28.66
76,11.82
77,24.55
78,22.77
79,26.4
80,20.14
81,29.02
82,22.22
83,18.97
84,19.15
85,29.14
86,22.37
87,29.08
88,28.02
89,27.88
90,12.63
91,29.23
92,16.15
93,21.45
94,14.72
95,19.43
96,15.59
97,15.9
98,17.55
99,12.63
