0,1.1,1.3
1,1.4,1.4
2,1.2,1.3
3,1.3,1.5
4,1.8,1.3
5,1.4,1.9
6,1.9,1.6
7,1.7,1.1
8,2.0,1.1
9,1.2,1.9
10,1.9,1.9
11,1.2,1.5
12,1.2,1.3
13,1.1,1.4
14,1.8,1.7
15,1.8,1.5
16,1.0,1.1
17,1.2,1.1
18,1.2,1.7
19,1.7,1.4
20,1.6,1.9
21,1.8,1.6
22,1.4,1.0
23,1.4,2.0
24,1.4,1.2
25,1.2,1.1
26,1.7,1.9
27,1.8,1.1
28,1.4,1.8
29,1.5,1.5
30,1.2,1.3
31,1.3,1.4
32,1.6,2.0
33,1.4,1.7
34,1.6,1.8
35,1.1,1.5
36,1.5,1.6
37,1.5,1.5
38,1.6,1.4
39,1.7,1.1
40,1.6,1.2
41,1.1,1.3
42,1.8,1.7
43,1.7,1.4
44,1.6,1.9
45,1.9,1.1
46,1.1,1.0
47,1.8,1.5
48,1.9,1.9
49,1.6,1.6
