0,13.9,2.5
1,13.9,2.5
2,13.7,2.5
3,13.8,2.5
4,12.7,2.5
5,10.1,2.5
6,14.0,2.5
7,10.9,2.5
8,10.9,2.5
9,12.7,2.5
10,10.3,2.5
11,12.4,2.5
12,11.2,2.5
13,12.2,2.5
14,13.2,2.5
15,13.8,2.5
16,10.4,2.5
17,11.6,2.5
18,14.1,2.5
19,11.0,2.5
20,12.8,2.5
21,14.6,2.5
22,11.8,2.5
23,10.2,2.5
24,14.7,2.5
25,14.6,2.5
26,13.8,2.5
27,10.6,2.5
28,11.5,2.5
29,14.2,2.5
30,14.2,2.5
31,12.1,2.5
32,11.3,2.5
33,12.7,2.5
34,10.1,2.5
35,11.0,2.5
36,10.7,2.5
37,10.6,2.5
38,13.0,2.5
39,12.7,2.5
40,11.2,2.5
41,11.8,2.5
42,13.4,2.5
43,13.6,2.5
44,10.1,2.5
45,10.8,2.5
46,12.8,2.5
47,14.4,2.5
48,14.9,2.5
49,14.1,2.5
